postalCode;name;lat;lng
10122;Torino Piazza Castello;45.071704698636125;7.68544435683907
10134;Cammafà Pizzeria;45.03325731616686;7.6561393131261815
10124;Mu Fusion Dumplings;45.06586;7.69398
10122;Al Bicerin;45.076431887832236;7.67899288526879
10132;Fujiyama;45.06789254605539;7.7127557595564955
10122;Caffè-Vini Emilio Ranzini;45.073430776763466;7.683289279514486
10139;Osteria Antiche Sere;45.07104569313447;7.643011444844895
10124;Mole Antonelliana;45.069010850396104;7.693160916922186
10121;Bicchierdivino - Café & Bistrot;45.06580994647029;7.674157353279796
10128;Libery Pizza & Artigianal Beer;45.06063674715014;7.670642170268507
10122;MAO - Museo d'Arte Orientale;45.07469391430482;7.680223557429455
10126;Kata Radja;45.04308340032219;7.670081207906806
10133;Catullo - Ristorante Pizzeria;45.0445;7.68575
10124;Pizzium;45.06512804672397;7.696925997734069
10122;Cianci;45.073526851351104;7.682784279258247
10132;Basilica di Superga;45.08067255615274;7.7676451206207275
10121;KOI Japanese Fusion Restaurant;45.066802;7.68075
10122;Palazzo Reale;45.07219048262372;7.685553606904624
10122;Da Zero;45.077045;7.6733637
10131;Origami;45.06408589638668;7.695326346275037
10125;Ristorante Cinese Take Away;45.05616633341829;7.681671860327575
10123;Piazza Vittorio Veneto;45.06526210655422;7.6953285679278425
10123;Museo Egizio;45.068344200093385;7.684363349555216
10152;Ristorante Dinastia;45.089461;7.681106
10125;Fratelli Pummarò;45.059078615185584;7.682497001461236
10035;Ichi;45.02794248346529;7.641466774752765
10123;America Graffiti Diner Restaurant;45.0639468;7.685550200000001
10124;Teatro Regio;45.070760913547964;7.6871081931171705
10123;Museo Nazionale del Risorgimento Italiano;45.06871678225367;7.686030864715575
10122;Piazza Palazzo di Città;45.07300478706127;7.681493850111891
10141;Sen Mi Ya;45.06443790485796;7.650117252841405
10123;Fiorio;45.06937670425611;7.688179828478529
10125;Castello del Valentino;45.0542686945562;7.685542773093285
10125;Sol Levante Fusion;45.062187;7.6798663
10124;Cinema Massimo;45.06847343270357;7.692491008747957
10122;Palazzo Madama - Museo Civico d'Arte Antica;45.071175643603354;7.6853503031269765
10131;La Giunca;45.058031;7.69346
10122;Biblioteca Reale;45.07121524507863;7.685137093846235
10121;La Capannina;45.06688;7.66801
10121;Caffè San Carlo;45.0684019433597;7.682522535324097
10123;Pizza Ad Hoc;45.06416031591088;7.6923985084520625
10131;Villa della Regina;45.0585378951303;7.707915310782507
10122;Stazione Torino Porta Susa;45.07175834063828;7.6660066087539045
10121;Cinema Centrale;45.06642800506683;7.6851986029595665
10131;Chiesa della Gran Madre di Dio;45.06276144212298;7.698593514250046
10121;Cinema Lux;45.068928598217965;7.682845512016349
10125;Parco del Valentino;45.05205938748674;7.68519401550293
10122;Quadrilatero Romano;45.07470483126391;7.680656005031397
10126;Borgo Medievale;45.049065392201385;7.685124278068542
10025;Infini.to - Planetario di Torino;45.0394943964368;7.761929842318962
10025;Parco Astronomico Torino;45.000597788555346;7.803549509981815
10126;Ristorante Cinese Tientsin;45.0471497357592;7.674320682634583
10122;Palazzo Carignano;45.068916656989636;7.685645096271582
10126;Museo Nazionale dell'Automobile;45.03174957063726;7.673817536519097
10121;Baratti & Milano;45.06946461662622;7.686551981942943
10121;La Pagoda;45.06406;7.6759
10128;Turin Palace Hotel;45.06199;7.676795
10122;Duomo di Torino;45.07341730172391;7.684853788969234
10124;Casa Mago Cocktail Bar;45.06987;7.6959376
10123;Hotel NH Collection Torino Piazza Carlina;45.065852;7.689442
10121;Caffè Torino;45.06748;7.68193
10123;Principi di Piemonte Spa & Wellness;45.065069183049474;7.680997302668
10131;Barz8;45.06199673053011;7.697650887096463
10128;Ristorante Giapponese Sushi Dozo;45.06396;7.67387
10123;Piazza Carlo Alberto;45.06853221747115;7.686343392308774
10123;Mulassano;45.06985;7.68682
10123;Il Mago di Oz;45.065865;7.6893415
10125;Affini;45.058304;7.679911
10125;Stazione Torino Porta Nuova;45.06118637344981;7.677492797634392
10123;Piazza Cavour;45.06305926379705;7.68907443291794
10122;Inside Restaurant & Cocktail Bar;45.07529259939605;7.680342371312016
10122;Piazza Statuto;45.076157234616;7.670817375183105
10121;Platti Caffè Ristorante dal 1870;45.06468418887427;7.674303511483887
10152;Piazza della Repubblica;45.076675665641275;7.68317056690599
10124;Museo Nazionale del Cinema;45.069041010416655;7.693041741976312
10132;La Via della Seta;45.069266378603324;7.7199740559539345
10121;Piazza San Carlo;45.06780350938298;7.682546039410316
10124;Nishiki Ristorante Giapponese e Sushi;45.07022;7.6945
10147;Cantine Vittoria;45.09572194961727;7.676871942402604