name;lat;lng
Centro;45.06644;7.6821017
Crocetta;45.05798470577007;7.663965982564456
Santa Rita;45.048881761323535;7.645901729265681
Mirafiori Nord;45.043407935357735;7.62691497868218
Mirafiori Sud;45.01287704116112;7.654279042123639
Borgo San Paolo;45.07329507297629;7.64685161240245
Cenisia;45.07280640301281;7.646907002655571
Pozzo Strada;45.06941403684397;7.631285652428752
Cit Turin;45.07485402176256;7.664476555268014
Borgata Lesna;45.06321266362275;7.616391400521268
San Donato;45.07960731281397;7.65776271674208
Borgo Campidoglio;45.08337248215871;7.65540525114125
Parella;45.07886930326321;7.630823901406366
Borgo Vittoria;45.09827026187637;7.675738846543401
Madonna di Campagna;45.10837199325851;7.663245515969748
Lucento;45.09652680368564;7.654464668493142
Le Vallette;45.102065117096984;7.631625164448075
Barriera di Milano;45.08902178607057;7.697217719833687
Barca;45.09974726488032;7.7234572862391815
Bertolla;45.10112047098391;7.742982007818566
Falchera;45.12158238754536;7.730104421801799
Rebaudengo;45.103399317875166;7.694746878221636
Villaretto;45.130452495203706;7.678296533243097
Aurora;45.083597925604074;7.68941112593986
Vanchiglia;45.070580168063806;7.700671811941097
Sassi;45.079343177449246;7.736672703874657
Madonna del Pilone;45.067064603887566;7.716135213360697
San Salvario;45.057708045778256;7.679847952196929
Cavoretto;45.02913080344866;7.688204680352003
Borgo Po;45.06755919711232;7.710592586999604
Nizza Millefonti;45.03198538576876;7.666852445312317
Lingotto;45.03500058506773;7.655178917410762